Time - Fc (N),Amplitude - Fc (N)
1.07,0.967706
1.072,0.967182
1.074,0.966382
1.076,0.965306
1.078,0.963954
1.08,0.962326
1.082,0.960423
1.084,0.958244
1.086,0.95579
1.088,0.953061
1.09,0.950057
1.092,0.946779
1.094,0.943228
1.096,0.939404
1.098,0.935308
1.1,0.930941
1.102,0.926304
1.104,0.921397
1.106,0.916222
1.108,0.910781
1.11,0.905073
1.112,0.899101
1.114,0.892865
1.116,0.886369
1.118,0.879612
1.12,0.872596
1.122,0.865324
1.124,0.857797
1.126,0.850017
1.128,0.841986
1.13,0.833706
1.132,0.825178
1.134,0.816406
1.136,0.807392
1.138,0.798137
1.14,0.788645
1.142,0.778917
1.144,0.768957
1.146,0.758766
1.148,0.748348
1.15,0.737706
1.152,0.726842
1.154,0.715759
1.156,0.704461
1.158,0.69295
1.16,0.681229
1.162,0.669302
1.164,0.657172
1.166,0.644842
1.168,0.632317
1.17,0.619598
1.172,0.60669
1.174,0.593597
1.176,0.580322
1.178,0.566869
1.18,0.553241
1.182,0.539443
1.184,0.525478
1.186,0.511351
1.188,0.497066
1.19,0.482626
1.192,0.468035
1.194,0.453299
1.196,0.438421
1.198,0.423406
1.2,0.408258
1.202,0.392981
1.204,0.37758
1.206,0.362059
1.208,0.346423
1.21,0.330677
1.212,0.314825
1.214,0.298872
1.216,0.282822
1.218,0.266681
1.22,0.250453
1.222,0.234143
1.224,0.217757
1.226,0.201298
1.228,0.184772
1.23,0.168183
1.232,0.151538
1.234,0.134841
1.236,0.118096
1.238,0.10131
1.24,0.0844867
1.242,0.0676319
1.244,0.0507507
1.246,0.0338481
1.248,0.0169295
1.25,0
1.252,-0.0169351
1.254,-0.0338706
1.256,-0.0508013
1.258,-0.0677217
1.26,-0.0846268
1.262,-0.101511
1.264,-0.118369
1.266,-0.135196
1.268,-0.151987
1.27,-0.168735
1.272,-0.185437
1.274,-0.202086
1.276,-0.218677
1.278,-0.235205
1.28,-0.251665
1.282,-0.268051
1.284,-0.284359
1.286,-0.300582
1.288,-0.316717
1.29,-0.332756
1.292,-0.348696
1.294,-0.364532
1.296,-0.380257
