Time - Fc (N),Amplitude - Fc (N)
16.028,0.381752
16.03,0.407646
16.032,0.431119
16.034,0.452033
16.036,0.470262
16.038,0.485699
16.04,0.498251
16.042,0.507844
16.044,0.514421
16.046,0.517942
16.048,0.518386
16.05,0.51575
16.052,0.510049
16.054,0.501319
16.056,0.489609
16.058,0.474989
16.06,0.457546
16.062,0.437384
16.064,0.414622
16.066,0.389396
16.068,0.361855
16.07,0.332163
16.072,0.300498
16.074,0.267046
16.076,0.232009
16.078,0.195593
16.08,0.158016
16.082,0.119502
16.084,0.0802806
16.086,0.0405854
16.088,0.000653254
16.09,-0.0392777
16.092,-0.0789692
16.094,-0.118184
16.096,-0.156689
16.098,-0.194253
16.1,-0.230652
16.102,-0.265669
16.104,-0.299094
16.106,-0.330727
16.108,-0.36038
16.11,-0.387874
16.112,-0.413046
16.114,-0.435744
16.116,-0.455832
16.118,-0.473191
16.12,-0.487716
16.122,-0.499319
16.124,-0.507932
16.126,-0.513502
16.128,-0.515995
16.13,-0.515398
16.132,-0.511712
16.134,-0.50496
16.136,-0.495181
16.138,-0.482435
16.14,-0.466798
16.142,-0.448363
16.144,-0.42724
16.146,-0.403556
16.148,-0.377454
16.15,-0.349088
16.152,-0.318631
16.154,-0.286264
16.156,-0.252181
16.158,-0.216588
16.16,-0.179698
16.162,-0.141732
16.164,-0.102919
16.166,-0.0634929
16.168,-0.0236896
16.17,0.016251
16.172,0.0560887
16.174,0.0955836
16.176,0.134498
16.178,0.172598
16.18,0.209653
16.182,0.245441
16.184,0.279746
16.186,0.31236
16.188,0.343088
16.19,0.371744
16.192,0.398154
16.194,0.42216
16.196,0.443617
16.198,0.462394
16.2,0.478379
16.202,0.491475
16.204,0.501602
16.206,0.508698
16.208,0.512722
16.21,0.513648
16.212,0.511471
16.214,0.506203
16.216,0.497877
16.218,0.486541
16.22,0.472265
16.222,0.455135
16.224,0.435253
16.226,0.412741
16.228,0.387734
16.23,0.360383
16.232,0.330854
16.234,0.299325
16.236,0.265987
16.238,0.231043
16.24,0.194703
16.242,0.157188
16.244,0.118725
16.246,0.079547
16.248,0.0398919
16.25,0
16.252,-0.0398866
16.254,-0.079526
16.256,-0.118678
16.258,-0.157103
16.26,-0.19457
16.262,-0.230851
16.264,-0.265724
16.266,-0.298979
16.268,-0.330412
16.27,-0.359833
16.272,-0.387062
16.274,-0.411935
16.276,-0.434299
16.278,-0.454018
16.28,-0.470972
16.282,-0.485057
16.284,-0.496189
16.286,-0.504298
16.288,-0.509335
16.29,-0.511269
16.292,-0.510089
16.294,-0.505801
16.296,-0.49843
16.298,-0.488023
16.3,-0.474642
16.302,-0.458367
16.304,-0.4393
16.306,-0.417555
16.308,-0.393264
16.31,-0.366577
16.312,-0.337656
16.314,-0.306677
16.316,-0.273829
16.318,-0.239313
16.32,-0.20334
16.322,-0.166129
16.324,-0.127907
16.326,-0.0889083
16.328,-0.0493714
16.33,-0.00953768
16.332,0.0303491
16.334,0.0700448
16.336,0.109307
16.338,0.147894
16.34,0.185571
16.342,0.222107
16.344,0.257278
16.346,0.290868
16.348,0.322671
16.35,0.352493
16.352,0.38015
16.354,0.405473
16.356,0.428306
16.358,0.448509
16.36,0.465958
16.362,0.480546
16.364,0.492183
16.366,0.500797
16.368,0.506335
16.37,0.508763
16.372,0.508066
16.374,0.504247
16.376,0.497331
16.378,0.48736
16.38,0.474393
16.382,0.458512
16.384,0.439813
16.386,0.418411
16.388,0.394439
16.39,0.368042
16.392,0.339383
16.394,0.308639
16.396,0.275999
16.398,0.241664
16.4,0.205844
16.402,0.168761
16.404,0.130644
16.406,0.0917257
16.408,0.0522475
16.41,0.0124524
16.412,-0.0274141
16.414,-0.0671062
16.416,-0.106379
16.418,-0.14499
16.42,-0.182701
16.422,-0.219279
16.424,-0.254497
16.426,-0.28814
16.428,-0.319998
16.43,-0.349874
16.432,-0.377584
16.434,-0.402957
16.436,-0.425835
16.438,-0.446077
16.44,-0.463556
16.442,-0.478166
16.444,-0.489815
16.446,-0.498432
16.448,-0.503962
16.45,-0.50637
16.452,-0.505643
16.454,-0.501784
16.456,-0.494817
16.458,-0.484785
16.46,-0.47175
16.462,-0.455792
16.464,-0.43701
16.466,-0.415521
16.468,-0.391457
16.47,-0.364968
16.472,-0.336218
16.474,-0.305385
16.476,-0.272661
16.478,-0.238248
16.48,-0.20236
16.482,-0.165219
16.484,-0.127058
16.486,-0.088112
16.488,-0.0486237
16.49,-0.00883845
16.492,0.0309963
16.494,0.0706329
16.496,0.109825
16.498,0.148328
16.5,0.185903
16.502,0.222316
16.504,0.257339
16.506,0.290756
16.508,0.322357
16.51,0.351946
16.512,0.379338
16.514,0.404362
16.516,0.426863
16.518,0.446699
16.52,0.463747
16.522,0.477901
16.524,0.489071
16.526,0.497188
16.528,0.502201
16.53,0.504079
16.532,0.502809
16.534,0.4984
16.536,0.490879
16.538,0.480292
16.54,0.466705
16.542,0.450204
16.544,0.43089
16.546,0.408886
16.548,0.384327
16.55,0.357368
16.552,0.328177
16.554,0.296936
16.556,0.263842
16.558,0.2291
16.56,0.192928
16.562,0.155554
16.564,0.11721
16.566,0.0781372
16.568,0.0385801
16.57,-0.00121337
16.572,-0.0409938
16.574,-0.0805117
16.576,-0.119519
16.578,-0.157772
16.58,-0.195029
16.582,-0.231058
16.584,-0.265631
16.586,-0.298532
16.588,-0.329554
16.59,-0.358503
16.592,-0.385195
16.594,-0.409463
16.596,-0.431156
16.598,-0.450135
16.6,-0.466282
16.602,-0.479495
16.604,-0.48969
16.606,-0.496804
16.608,-0.500791
16.61,-0.501626
16.612,-0.499304
16.614,-0.493838
16.616,-0.485264
16.618,-0.473635
16.62,-0.459024
16.622,-0.441523
16.624,-0.421241
16.626,-0.398308
16.628,-0.372867
16.63,-0.345078
16.632,-0.315116
16.634,-0.283171
16.636,-0.249443
16.638,-0.214147
16.64,-0.177503
16.642,-0.139744
16.644,-0.101107
16.646,-0.0618375
16.648,-0.0221826
16.65,0.0176069
16.652,0.0572796
16.654,0.0965847
16.656,0.135274
16.658,0.173102
16.66,0.20983
16.662,0.245226
16.664,0.279065
16.666,0.311133
16.668,0.341228
16.67,0.369158
16.672,0.394746
16.674,0.41783
16.676,0.438265
16.678,0.455919
16.68,0.470682
16.682,0.482459
16.684,0.491175
16.686,0.496776
16.688,0.499225
16.69,0.498506
16.692,0.494625
16.694,0.487604
16.696,0.47749
16.698,0.464345
16.7,0.448254
16.702,0.429317
16.704,0.407656
16.706,0.383407
16.708,0.356725
16.71,0.32778
16.712,0.296754
16.714,0.263845
16.716,0.229263
16.718,0.193227
16.72,0.155967
16.722,0.117719
16.724,0.0787268
16.726,0.0392392
16.728,-0.000492792
16.73,-0.0402161
16.732,-0.0796775
16.734,-0.118626
16.736,-0.156812
16.738,-0.193994
16.74,-0.229934
16.742,-0.264402
16.744,-0.297179
16.746,-0.328055
16.748,-0.356833
16.75,-0.38333
16.752,-0.407377
16.754,-0.428818
16.756,-0.447518
16.758,-0.463357
16.76,-0.476234
16.762,-0.486065
16.764,-0.492788
16.766,-0.496361
16.768,-0.496759
16.77,-0.49398
16.772,-0.488041
16.774,-0.478981
16.776,-0.466857
16.778,-0.451747
16.78,-0.433747
16.782,-0.412973
16.784,-0.389556
16.786,-0.363647
16.788,-0.335413
16.79,-0.305033
16.792,-0.272702
16.794,-0.238627
16.796,-0.203028
16.798,-0.166131
16.8,-0.128174
16.802,-0.0893994
16.804,-0.050057
16.806,-0.010399
16.808,0.0293202
16.81,0.0688455
16.812,0.107923
16.814,0.146302
16.816,0.183735
16.818,0.219982
16.82,0.254811
16.822,0.287996
16.824,0.319324
16.826,0.348595
16.828,0.375619
16.83,0.400222
16.832,0.422247
16.834,0.44155
16.836,0.458008
16.838,0.471515
16.84,0.481983
16.842,0.489345
16.844,0.493553
16.846,0.49458
16.848,0.492418
16.85,0.487083
16.852,0.478608
16.854,0.467047
16.856,0.452475
16.858,0.434986
16.86,0.414692
16.862,0.391724
16.864,0.366231
16.866,0.338377
16.868,0.308341
16.87,0.276318
16.872,0.242514
16.874,0.207148
16.876,0.170448
16.878,0.132651
16.88,0.094002
16.882,0.0547505
16.884,0.0151505
16.886,-0.0245419
16.888,-0.0640697
16.89,-0.103177
16.892,-0.141611
16.894,-0.179123
16.896,-0.215468
16.898,-0.250413
16.9,-0.283731
16.902,-0.315205
16.904,-0.344631
16.906,-0.371819
16.908,-0.396593
16.91,-0.41879
16.912,-0.438268
16.914,-0.454899
16.916,-0.468576
16.918,-0.479209
16.92,-0.48673
16.922,-0.491089
16.924,-0.492259
16.926,-0.49023
16.928,-0.485017
16.93,-0.476652
16.932,-0.465191
16.934,-0.450707
16.936,-0.433294
16.938,-0.413066
16.94,-0.390154
16.942,-0.364706
16.944,-0.336889
16.946,-0.306884
16.948,-0.274884
16.95,-0.2411
16.952,-0.20575
16.954,-0.169065
16.956,-0.131284
16.958,-0.0926525
16.96,-0.0534229
16.962,-0.0138508
16.964,0.025806
16.966,0.0652887
16.968,0.10434
16.97,0.142704
16.972,0.180132
16.974,0.216379
16.976,0.251208
16.978,0.284391
16.98,0.315712
16.982,0.344967
16.984,0.371963
16.986,0.396525
16.988,0.418491
16.99,0.437719
16.992,0.454081
16.994,0.467472
16.996,0.477802
16.998,0.485005
17,0.489033
17.002,0.48986
17.004,0.487479
17.006,0.481907
17.008,0.47318
17.01,0.461355
17.012,0.446509
17.014,0.428738
17.016,0.408161
17.018,0.38491
17.02,0.359139
17.022,0.331017
17.024,0.300727
17.026,0.268469
17.028,0.234454
17.03,0.198905
17.032,0.162055
17.034,0.124147
17.036,0.085429
17.038,0.0461555
17.04,0.0065845
17.042,-0.033024
17.044,-0.0724096
17.046,-0.111313
17.048,-0.14948
17.05,-0.186657
17.052,-0.222602
17.054,-0.257076
17.056,-0.289854
17.058,-0.320719
17.06,-0.349469
17.062,-0.375913
17.064,-0.399878
17.066,-0.421205
17.068,-0.439754
17.07,-0.455403
17.072,-0.468048
17.074,-0.477606
17.076,-0.484013
17.078,-0.487227
17.08,-0.487227
17.082,-0.484013
17.084,-0.477605
17.086,-0.468046
17.088,-0.455399
17.09,-0.439747
17.092,-0.421193
17.094,-0.39986
17.096,-0.375889
17.098,-0.349437
17.1,-0.320679
17.102,-0.289806
17.104,-0.257022
17.106,-0.222543
17.108,-0.186596
17.11,-0.149421
17.112,-0.111262
17.114,-0.0723732
17.116,-0.0330106
17.118,0.00656471
17.12,0.0460907
17.122,0.0853056
17.124,0.123949
17.126,0.161766
17.128,0.198506
17.13,0.233923
17.132,0.267785
17.134,0.299866
17.136,0.329954
17.138,0.357847
17.14,0.383363
17.142,0.40633
17.144,0.426597
17.146,0.444029
17.148,0.458509
17.15,0.469942
17.152,0.478252
17.154,0.483382
17.156,0.485299
17.158,0.483991
17.16,0.479464
17.162,0.47175
17.164,0.4609
17.166,0.446985
17.168,0.430099
17.17,0.410352
17.172,0.387877
17.174,0.362824
17.176,0.335358
17.178,0.305662
17.18,0.273935
17.182,0.240387
17.184,0.205243
17.186,0.168735
17.188,0.131109
17.19,0.0926132
17.192,0.053506
17.194,0.0140476
17.196,-0.0254986
17.198,-0.0648687
17.2,-0.1038
17.202,-0.142032
17.204,-0.179311
17.206,-0.215386
17.208,-0.250017
17.21,-0.282973
17.212,-0.314032
17.214,-0.342988
17.216,-0.369647
17.218,-0.39383
17.22,-0.415376
17.222,-0.43414
17.224,-0.449997
17.226,-0.46284
17.228,-0.472583
17.23,-0.479162
17.232,-0.482531
17.234,-0.482668
17.236,-0.479572
17.238,-0.473264
17.24,-0.463785
17.242,-0.4512
17.244,-0.435591
17.246,-0.417065
17.248,-0.395744
17.25,-0.371773
17.252,-0.34531
17.254,-0.316535
17.256,-0.28564
17.258,-0.252832
17.26,-0.218331
17.262,-0.182369
17.264,-0.145188
17.266,-0.107037
17.268,-0.0681731
17.27,-0.0288565
17.272,0.0106481
17.274,0.0500752
17.276,0.0891596
17.278,0.127638
17.28,0.165253
17.282,0.201749
17.284,0.236883
17.286,0.270416
17.288,0.302124
17.29,0.331793
17.292,0.359223
17.294,0.384228
17.296,0.406641
17.298,0.426311
17.3,0.443103
17.302,0.456906
17.304,0.467626
17.306,0.475191
17.308,0.479548
17.31,0.48067
17.312,0.478548
17.314,0.473196
17.316,0.464651
17.318,0.452969
17.32,0.43823
17.322,0.420533
17.324,0.399997
17.326,0.376762
17.328,0.350984
17.33,0.322837
17.332,0.292511
17.334,0.260212
17.336,0.226157
17.338,0.190578
17.34,0.153715
17.342,0.115816
17.344,0.0771401
17.346,0.0379473
17.348,-0.00149646
17.35,-0.0409241
17.352,-0.0800684
17.354,-0.118664
17.356,-0.15645
17.358,-0.193169
17.36,-0.228573
17.362,-0.262422
17.364,-0.294485
17.366,-0.324546
17.368,-0.3524
17.37,-0.377859
17.372,-0.400748
17.374,-0.420913
17.376,-0.438217
17.378,-0.452542
17.38,-0.46379
17.382,-0.471886
17.384,-0.476773
17.386,-0.478419
17.388,-0.476812
17.39,-0.471963
17.392,-0.463905
17.394,-0.452692
17.396,-0.438402
17.398,-0.421129
17.4,-0.400994
17.402,-0.378131
17.404,-0.352697
17.406,-0.324865
17.408,-0.294824
17.41,-0.26278
17.412,-0.228949
17.414,-0.193564
17.416,-0.156864
17.418,-0.1191
17.42,-0.0805301
17.422,-0.0414167
17.424,-0.00202673
17.426,0.037371
17.428,0.0765076
17.43,0.115116
17.432,0.152932
17.434,0.189698
17.436,0.225163
17.438,0.259084
17.44,0.291229
17.442,0.321379
17.444,0.349328
17.446,0.374884
17.448,0.397872
17.45,0.418136
17.452,0.435536
17.454,0.449953
17.456,0.461288
17.458,0.469465
17.46,0.474426
17.462,0.476137
17.464,0.474587
17.466,0.469786
17.468,0.461768
17.47,0.450586
17.472,0.436317
17.474,0.419059
17.476,0.398931
17.478,0.37607
17.48,0.350632
17.482,0.322793
17.484,0.292743
17.486,0.260688
17.488,0.226849
17.49,0.191458
17.492,0.154757
17.494,0.116999
17.496,0.0784426
17.498,0.0393535
17.5,0
17.502,-0.0393474
17.504,-0.078418
17.506,-0.116943
17.508,-0.154658
17.51,-0.191303
17.512,-0.226626
17.514,-0.260384
17.516,-0.292344
17.518,-0.322287
17.52,-0.350005
17.522,-0.375308
17.524,-0.398022
17.526,-0.41799
17.528,-0.435074
17.53,-0.449157
17.532,-0.460141
17.534,-0.46795
17.536,-0.47253
17.538,-0.47385
17.54,-0.471901
17.542,-0.466695
17.544,-0.458269
17.546,-0.44668
17.548,-0.432009
17.55,-0.414357
17.552,-0.393845
17.554,-0.370615
17.556,-0.344828
17.558,-0.316662
17.56,-0.286311
17.562,-0.253985
17.564,-0.219908
17.566,-0.184315
17.568,-0.147453
17.57,-0.109576
17.572,-0.0709462
17.574,-0.0318318
17.576,0.00749691
17.578,0.0467675
17.58,0.0857079
17.582,0.124048
17.584,0.161523
17.586,0.197873
17.588,0.232846
17.59,0.266198
17.592,0.297699
17.594,0.327131
17.596,0.354289
17.598,0.378984
17.6,0.401045
17.602,0.420319
17.604,0.436672
17.606,0.449991
17.608,0.460182
17.61,0.467174
17.612,0.47092
17.614,0.471393
17.616,0.46859
17.618,0.462529
17.62,0.453253
17.622,0.440827
17.624,0.425336
17.626,0.406889
17.628,0.385613
17.63,0.361657
17.632,0.335187
17.634,0.306388
17.636,0.275459
17.638,0.242617
17.64,0.20809
17.642,0.172118
17.644,0.134953
17.646,0.0968525
17.648,0.0580831
17.65,0.0189148
17.652,-0.0203791
17.654,-0.0595247
17.656,-0.0982487
17.658,-0.136281
17.66,-0.173356
17.662,-0.209215
17.664,-0.243607
17.666,-0.276292
17.668,-0.307042
17.67,-0.335643
17.672,-0.361893
17.674,-0.385609
17.676,-0.406626
17.678,-0.424797
17.68,-0.439994
17.682,-0.452111
17.684,-0.461063
17.686,-0.466787
17.688,-0.469244
17.69,-0.468415
17.692,-0.464307
17.694,-0.456948
17.696,-0.44639
17.698,-0.432706
17.7,-0.415993
17.702,-0.396367
17.704,-0.373966
17.706,-0.348946
17.708,-0.321484
17.71,-0.291772
17.712,-0.260017
17.714,-0.226443
17.716,-0.191286
17.718,-0.154791
17.72,-0.117216
17.722,-0.0788236
17.724,-0.0398839
17.726,-0.000670285
17.728,0.0385418
17.73,0.0774767
17.732,0.115861
17.734,0.153424
17.736,0.189903
17.738,0.22504
17.74,0.258589
17.742,0.290314
17.744,0.31999
17.746,0.34741
17.748,0.372379
17.75,0.394723
17.752,0.414284
17.754,0.430924
17.756,0.444525
17.758,0.454993
17.76,0.462252
17.762,0.466252
17.764,0.466964
17.766,0.464383
17.768,0.458528
17.77,0.449439
17.772,0.43718
17.774,0.421839
17.776,0.403523
17.778,0.382361
17.78,0.358503
17.782,0.332117
17.784,0.303389
17.786,0.272523
17.788,0.239735
17.79,0.205259
17.792,0.169338
17.794,0.132225
17.796,0.0941832
17.798,0.0554813
17.8,0.0163932
17.802,-0.0228045
17.804,-0.0618345
17.806,-0.10042
17.808,-0.138289
17.81,-0.175173
17.812,-0.210809
17.814,-0.244947
17.816,-0.277344
17.818,-0.30777
17.82,-0.33601
17.822,-0.361863
17.824,-0.385146
17.826,-0.405694
17.828,-0.423361
17.83,-0.438022
17.832,-0.449572
17.834,-0.457929
17.836,-0.463035
17.838,-0.464852
17.84,-0.463368
17.842,-0.458593
17.844,-0.450561
17.846,-0.439329
17.848,-0.424976
17.85,-0.407606
17.852,-0.38734
17.854,-0.364323
17.856,-0.338719
17.858,-0.310709
17.86,-0.280494
17.862,-0.248287
17.864,-0.214319
17.866,-0.17883
17.868,-0.142074
17.87,-0.104312
17.872,-0.0658131
17.874,-0.0268517
17.876,0.0122946
17.878,0.0513469
17.88,0.0900267
17.882,0.128058
17.884,0.165171
17.886,0.201099
17.888,0.235586
17.89,0.268387
17.892,0.299268
17.894,0.328007
17.896,0.354399
17.898,0.378257
17.9,0.399409
17.902,0.417705
17.904,0.433013
17.906,0.445225
17.908,0.454252
17.91,0.460031
17.912,0.462519
17.914,0.461699
17.916,0.457577
17.918,0.450182
17.92,0.439567
17.922,0.425808
17.924,0.409003
17.926,0.389272
17.928,0.366757
17.93,0.341619
17.932,0.314038
17.934,0.284212
17.936,0.252353
17.938,0.218691
17.94,0.183467
17.942,0.146933
17.944,0.109351
17.946,0.070991
17.948,0.0321281
17.95,-0.00695899
17.952,-0.0459897
17.954,-0.0846837
17.956,-0.122763
17.958,-0.159955
17.96,-0.195992
17.962,-0.230614
17.964,-0.263574
17.966,-0.294634
17.968,-0.323572
17.97,-0.350178
17.972,-0.374261
17.974,-0.395649
17.976,-0.414187
17.978,-0.429742
17.98,-0.442201
17.982,-0.451476
17.984,-0.457499
17.986,-0.460227
17.988,-0.45964
17.99,-0.455742
17.992,-0.448561
17.994,-0.43815
17.996,-0.424582
17.998,-0.407956
18,-0.388391
18.002,-0.366028
18.004,-0.34103
18.006,-0.313575
18.008,-0.283862
18.01,-0.252106
18.012,-0.218535
18.014,-0.183392
18.016,-0.14693
18.018,-0.109414
18.02,-0.0711132
18.022,-0.0323052
18.024,0.00672977
18.026,0.0457096
18.028,0.0843525
18.03,0.122379
18.032,0.159514
18.034,0.195489
18.036,0.230044
18.038,0.262929
18.04,0.293905
18.042,0.322748
18.044,0.34925
18.046,0.373218
18.048,0.39448
18.05,0.41288
18.052,0.428285
18.054,0.440584
18.056,0.449688
18.058,0.45553
18.06,0.458068
18.062,0.457283
18.064,0.453182
18.066,0.445793
18.068,0.435171
18.07,0.421392
18.072,0.404557
18.074,0.384787
18.076,0.362226
18.078,0.337038
18.08,0.309405
18.082,0.279529
18.084,0.247627
18.086,0.21393
18.088,0.178684
18.09,0.142144
18.092,0.104576
18.094,0.0662545
18.096,0.027457
18.098,-0.0115337
18.1,-0.050434
18.102,-0.0889605
18.104,-0.126833
18.106,-0.163775
18.108,-0.199518
18.11,-0.233802
18.112,-0.266376
18.114,-0.297003
18.116,-0.32546
18.118,-0.35154
18.12,-0.375052
18.122,-0.395824
18.124,-0.413705
18.126,-0.428565
18.128,-0.440295
18.13,-0.448809
18.132,-0.454045
18.134,-0.455965
18.136,-0.454555
18.138,-0.449825
18.14,-0.441809
18.142,-0.430566
18.144,-0.416178
18.146,-0.398751
18.148,-0.378411
18.15,-0.355307
18.152,-0.329609
18.154,-0.301503
18.156,-0.271196
18.158,-0.23891
18.16,-0.204881
18.162,-0.169357
18.164,-0.1326
18.166,-0.0948772
18.168,-0.0564662
18.17,-0.0176479
18.172,0.021293
18.174,0.0600712
18.176,0.0984025
18.178,0.136006
18.18,0.172605
18.182,0.207933
18.184,0.241728
18.186,0.273745
18.188,0.303747
18.19,0.331514
18.192,0.356843
18.194,0.379547
18.196,0.39946
18.198,0.416435
18.2,0.430347
18.202,0.441095
18.204,0.448599
18.206,0.452804
18.208,0.453679
18.21,0.451218
18.212,0.445438
18.214,0.436382
18.216,0.424117
18.218,0.408732
18.22,0.390342
18.222,0.369081
18.224,0.345105
18.226,0.318592
18.228,0.289737
18.23,0.258752
18.232,0.225866
18.234,0.19132
18.236,0.155371
18.238,0.118281
18.24,0.0803258
18.242,0.0417846
18.244,0.00294164
18.246,-0.0359163
18.248,-0.0745025
18.25,-0.112532
18.252,-0.149724
18.254,-0.185805
18.256,-0.220507
18.258,-0.253573
18.26,-0.284761
18.262,-0.313839
18.264,-0.340593
18.266,-0.364823
18.268,-0.386353
18.27,-0.405021
18.272,-0.42069
18.274,-0.433244
18.276,-0.442591
18.278,-0.44866
18.28,-0.451407
18.282,-0.450811
18.284,-0.446877
18.286,-0.439635
18.288,-0.429136
18.29,-0.41546
18.292,-0.398708
18.294,-0.379003
18.296,-0.356492
18.298,-0.331342
18.3,-0.303738
18.302,-0.273887
18.304,-0.242008
18.306,-0.20834
18.308,-0.173131
18.31,-0.136643
18.312,-0.0991466
18.314,-0.0609206
18.316,-0.0222489
18.318,0.0165815
18.32,0.0552819
18.322,0.0935648
18.324,0.131146
18.326,0.167745
18.328,0.203091
18.33,0.23692
18.332,0.268981
18.334,0.299035
18.336,0.32686
18.338,0.352246
18.34,0.375006
18.342,0.39497
18.344,0.41199
18.346,0.425938
18.348,0.436711
18.35,0.444228
18.352,0.448433
18.354,0.449295
18.356,0.446808
18.358,0.440989
18.36,0.431883
18.362,0.419557
18.364,0.404103
18.366,0.385636
18.368,0.364295
18.37,0.340237
18.372,0.313644
18.374,0.284714
18.376,0.253662
18.378,0.22072
18.38,0.186135
18.382,0.150165
18.384,0.113079
18.386,0.0751546
18.388,0.0366745
18.39,-0.00207312
18.392,-0.0407985
18.394,-0.0792118
18.396,-0.117026
18.398,-0.153957
18.4,-0.18973
18.402,-0.224076
18.404,-0.256737
18.406,-0.287471
18.408,-0.316045
18.41,-0.342247
18.412,-0.365879
18.414,-0.386765
18.416,-0.404747
18.418,-0.419692
18.42,-0.431487
18.422,-0.440043
18.424,-0.445296
18.426,-0.447207
18.428,-0.445762
18.43,-0.440971
18.432,-0.43287
18.434,-0.421519
18.436,-0.407006
18.438,-0.389437
18.44,-0.368945
18.442,-0.345685
18.444,-0.31983
18.446,-0.291576
18.448,-0.261134
18.45,-0.228734
18.452,-0.194619
18.454,-0.159046
18.456,-0.122283
18.458,-0.0846059
18.46,-0.0462986
18.462,-0.00764939
18.464,0.0310506
18.466,0.0695098
18.468,0.107439
18.47,0.144551
18.472,0.180568
18.474,0.215218
18.476,0.248239
18.478,0.279382
18.48,0.308414
18.482,0.335113
18.484,0.35928
18.486,0.380732
18.488,0.399307
18.49,0.414864
18.492,0.427287
18.494,0.436481
18.496,0.442377
18.498,0.444931
18.5,0.444122
18.502,0.439957
18.504,0.432469
18.506,0.421712
18.508,0.407769
18.51,0.390744
18.512,0.370767
18.514,0.347989
18.516,0.322583
18.518,0.294739
18.52,0.264669
18.522,0.232601
18.524,0.198778
18.526,0.163455
18.528,0.126901
18.53,0.089391
18.532,0.0512108
18.534,0.0126493
18.536,-0.0260013
18.538,-0.0644478
18.54,-0.102399
18.542,-0.139566
18.544,-0.175669
18.546,-0.210431
18.548,-0.243591
18.55,-0.274896
18.552,-0.304109
18.554,-0.331007
18.556,-0.355387
18.558,-0.377063
18.56,-0.39587
18.562,-0.411667
18.564,-0.424331
18.566,-0.433768
18.568,-0.439906
18.57,-0.442697
18.572,-0.442121
18.574,-0.438182
18.576,-0.43091
18.578,-0.42036
18.58,-0.406612
18.582,-0.389772
18.584,-0.369967
18.586,-0.347348
18.588,-0.322088
18.59,-0.294378
18.592,-0.26443
18.594,-0.232473
18.596,-0.198749
18.598,-0.163516
18.6,-0.127043
18.602,-0.0896072
18.604,-0.0514947
18.606,-0.0129962
18.608,0.0255946
18.61,0.063983
18.612,0.101876
18.614,0.138985
18.616,0.175025
18.618,0.209722
18.62,0.242811
18.622,0.274039
18.624,0.303167
18.626,0.329972
18.628,0.35425
18.63,0.375815
18.632,0.394503
18.634,0.410169
18.636,0.422694
18.638,0.431983
18.64,0.437964
18.642,0.440591
18.644,0.439845
18.646,0.435731
18.648,0.428281
18.65,0.417551
18.652,0.403624
18.654,0.386606
18.656,0.366629
18.658,0.343844
18.66,0.318428
18.662,0.290574
18.664,0.260496
18.666,0.228425
18.668,0.194608
18.67,0.159303
18.672,0.122782
18.674,0.0853248
18.676,0.0472192
18.678,0.00875798
18.68,-0.0297636
18.682,-0.0680495
18.684,-0.105806
18.686,-0.142742
18.688,-0.178574
18.69,-0.213026
18.692,-0.245834
18.694,-0.276746
18.696,-0.305523
18.698,-0.331944
18.7,-0.355806
18.702,-0.376925
18.704,-0.395138
18.706,-0.410306
18.708,-0.422311
18.71,-0.431061
18.712,-0.436489
18.714,-0.438552
18.716,-0.437235
18.718,-0.432549
18.72,-0.424528
18.722,-0.413235
18.724,-0.398758
18.726,-0.381207
18.728,-0.360718
18.73,-0.33745
18.732,-0.311581
18.734,-0.283312
18.736,-0.25286
18.738,-0.220462
18.74,-0.186366
18.742,-0.150838
18.744,-0.11415
18.746,-0.0765867
18.748,-0.0384384
18.75,0
18.752,0.0384314
18.754,0.0765585
18.756,0.114086
18.758,0.150725
18.76,0.18619
18.762,0.220209
18.764,0.252516
18.766,0.282862
18.768,0.311013
18.77,0.336749
18.772,0.359873
18.774,0.380203
18.776,0.397584
18.778,0.411881
18.78,0.422981
18.782,0.430801
18.784,0.435278
18.786,0.436378
18.788,0.434093
18.79,0.42844
18.792,0.419463
18.794,0.407232
18.796,0.391842
18.798,0.373412
18.8,0.352086
18.802,0.328029
18.804,0.301428
18.806,0.272489
18.808,0.241439
18.81,0.208517
18.812,0.17398
18.814,0.138097
18.816,0.101146
18.818,0.0634152
18.82,0.0251981
18.822,-0.013208
18.824,-0.0515043
18.826,-0.0893926
18.828,-0.126578
18.83,-0.16277
18.832,-0.197689
18.834,-0.23106
18.836,-0.262626
18.838,-0.292138
18.84,-0.319369
18.842,-0.344104
18.844,-0.366152
18.846,-0.38534
18.848,-0.401519
18.85,-0.414563
18.852,-0.424369
18.854,-0.430862
18.856,-0.43399
18.858,-0.43373
18.86,-0.430082
18.862,-0.423077
18.864,-0.412768
18.866,-0.399236
18.868,-0.382586
18.87,-0.36295
18.872,-0.34048
18.874,-0.315352
18.876,-0.287763
18.878,-0.257928
18.88,-0.226081
18.882,-0.192471
18.884,-0.157362
18.886,-0.121027
18.888,-0.0837509
18.89,-0.0458264
18.892,-0.00755015
18.894,0.0307782
18.896,0.0688582
18.898,0.106392
18.9,0.143084
18.902,0.178648
18.904,0.212805
18.906,0.245287
18.908,0.27584
18.91,0.304222
18.912,0.330213
18.914,0.353608
18.916,0.374223
18.918,0.391896
18.92,0.40649
18.922,0.417888
18.924,0.426003
18.926,0.430769
18.928,0.43215
18.93,0.430135
18.932,0.424739
18.934,0.416006
18.936,0.404003
