Time - Fc (N,Amplitude - Fc (N
1.68,0.65573
1.682,0.625724
1.684,0.594573
1.686,0.562334
1.688,0.529065
1.69,0.494827
1.692,0.459683
1.694,0.423696
1.696,0.386932
1.698,0.349458
1.7,0.311344
1.702,0.272657
1.704,0.23347
1.706,0.193854
1.708,0.153882
1.71,0.113627
1.712,0.073162
1.714,0.0325625
1.716,-0.0080975
1.718,-0.0487432
1.72,-0.0892998
1.722,-0.129693
1.724,-0.169848
1.726,-0.209691
1.728,-0.249148
1.73,-0.288148
1.732,-0.326617
1.734,-0.364485
1.736,-0.401683
1.738,-0.43814
1.74,-0.47379
1.742,-0.508567
1.744,-0.542406
1.746,-0.575245
1.748,-0.607022
1.75,-0.637679
1.752,-0.667159
1.754,-0.695407
1.756,-0.722371
1.758,-0.747999
1.76,-0.772245
1.762,-0.795064
1.764,-0.816411
1.766,-0.836249
1.768,-0.854538
1.77,-0.871246
1.772,-0.886341
1.774,-0.899794
1.776,-0.91158
1.778,-0.921676
1.78,-0.930064
1.782,-0.936727
1.784,-0.941653
1.786,-0.944831
1.788,-0.946255
1.79,-0.945923
1.792,-0.943834
1.794,-0.939992
1.796,-0.934403
1.798,-0.927077
1.8,-0.918027
1.802,-0.90727
1.804,-0.894826
1.806,-0.880716
1.808,-0.864966
1.81,-0.847606
1.812,-0.828667
1.814,-0.808184
1.816,-0.786195
1.818,-0.762741
1.82,-0.737863
1.822,-0.71161
1.824,-0.684029
1.826,-0.655171
1.828,-0.62509
1.83,-0.593841
1.832,-0.561483
1.834,-0.528076
1.836,-0.493681
1.838,-0.458364
1.84,-0.422189
1.842,-0.385224
1.844,-0.347537
1.846,-0.3092
1.848,-0.270284
1.85,-0.230862
1.852,-0.191006
1.854,-0.150793
1.856,-0.110296
1.858,-0.0695917
1.86,-0.0287567
1.862,0.0121327
1.864,0.0529998
1.866,0.093768
1.868,0.134361
1.87,0.174702
1.872,0.214715
1.874,0.254325
1.876,0.293458
1.878,0.33204
1.88,0.369998
1.882,0.407261
1.884,0.443758
1.886,0.479421
1.888,0.514181
1.89,0.547974
1.892,0.580736
1.894,0.612404
1.896,0.642918
1.898,0.672221
1.9,0.700257
1.902,0.726972
1.904,0.752317
1.906,0.776242
1.908,0.798703
1.91,0.819656
1.912,0.839061
1.914,0.856882
1.916,0.873084
1.918,0.887635
1.92,0.900509
1.922,0.91168
1.924,0.921127
1.926,0.928831
1.928,0.934777
1.93,0.938953
1.932,0.941352
1.934,0.941967
1.936,0.940797
1.938,0.937845
1.94,0.933114
1.942,0.926614
1.944,0.918356
1.946,0.908356
1.948,0.896631
1.95,0.883205
1.952,0.868101
1.954,0.851348
1.956,0.832977
1.958,0.813023
1.96,0.791523
1.962,0.768517
1.964,0.74405
1.966,0.718167
1.968,0.690916
1.97,0.662351
1.972,0.632523
1.974,0.601491
